name1,name2,discovery date,uniport1,uniport2,id1,id2
BAG4,KLK5,"datetime(2015, 3, 27, 0, 0)",O95429,Q9Y337,110877,115783
IFI16,FEN1,"datetime(2015, 2, 9, 0, 0)",Q16666,P39748,102038,107957
IFI16,CIRH1A,"datetime(2015, 2, 9, 0, 0)",Q16666,Q969X6,102038,108835
RB1CC1,ITIH5,"datetime(2015, 3, 27, 0, 0)",Q8TDY2,Q86UX2,108235,111411
IFI16,NGDN,"datetime(2015, 2, 9, 0, 0)",Q16666,Q8NEJ9,102038,105875
PYHIN1,ZNF428,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,Q96B54,100916,106932
TSG101,BCAS3,"datetime(2015, 3, 27, 0, 0)",Q99816,Q9H6U6,115385,104854
S100A14,AKT1,"datetime(2015, 3, 27, 0, 0)",Q9HCY8,P31749,101453,112440
ESR2,PRKCSH,"datetime(2015, 6, 1, 0, 0)",Q92731,P14314,100229,112180
RPL39,ARAF,"datetime(2015, 4, 7, 0, 0)",P62891,P10398,111441,105149
DKK3,CDH1,"datetime(2015, 3, 27, 0, 0)",Q9UBP4,P12830,115578,107212
IRAK1,HNRNPF,"datetime(2015, 4, 7, 0, 0)",P51617,P52597,110648,107011
MNDA,WHSC1,"datetime(2015, 2, 9, 0, 0)",P41218,O96028,100095,111751
SLC38A9,ATP5O,"datetime(2015, 3, 26, 0, 0)",Q8NBW4,P48047,107436,114799
HMMR,IL24,"datetime(2015, 3, 27, 0, 0)",O75330,Q13007,107079,108551
IFI16,XRCC6,"datetime(2015, 2, 9, 0, 0)",Q16666,P12956,102038,115541
EIF2S2,MAST3,"datetime(2015, 4, 7, 0, 0)",P20042,O60307,101711,107245
CASP8,ATAD2,"datetime(2015, 3, 27, 0, 0)",Q14790,Q6PL18,100527,104382
ARAF,SLC25A1,"datetime(2015, 4, 7, 0, 0)",P10398,P53007,105149,110225
CASP8,SCGB2A2,"datetime(2015, 3, 27, 0, 0)",Q14790,Q13296,100527,112019
AIM2,LAS1L,"datetime(2015, 2, 9, 0, 0)",O14862,Q9Y4W2,112084,114847
AIM2,RCC2,"datetime(2015, 2, 9, 0, 0)",O14862,Q9P258,112084,100611
BEX2,BCAR3,"datetime(2015, 3, 27, 0, 0)",Q9BXY8,O75815,107789,111502
PYHIN1,RSL1D1,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,O76021,100916,110361
IFI16,DDX24,"datetime(2015, 2, 9, 0, 0)",Q16666,Q9GZR7,102038,108927
ESR2,HGH1,"datetime(2015, 6, 1, 0, 0)",Q92731,Q9BTY7,100229,101394
YBX1,CSDE1,"datetime(2015, 2, 6, 0, 0)",P67809,O75534,106757,102389
PYHIN1,RREB1,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,Q92766,100916,105134
RAPGEF2,HMCN1,"datetime(2015, 1, 1, 0, 0)",Q9Y4G8,Q96RW7,112514,115473
EPSTI1,CASP8,"datetime(2015, 3, 27, 0, 0)",Q96J88,Q14790,110334,100527
ESR1,PABPC3,"datetime(2015, 6, 1, 0, 0)",P03372,Q9H361,102503,104672
IRAK1,DNAJA3,"datetime(2015, 4, 7, 0, 0)",P51617,Q96EY1,110648,104772
WEE1,EEF2,"datetime(2015, 4, 7, 0, 0)",P30291,P13639,112465,104771
PTPRJ,CASC3,"datetime(2015, 3, 27, 0, 0)",Q12913,O15234,113804,115785
IFI16,KRI1,"datetime(2015, 2, 9, 0, 0)",Q16666,Q8N9T8,102038,101008
MBD4,USP7,"datetime(2015, 3, 1, 0, 0)",O95243,Q93009,113448,110519
WT1,CASZ1,"datetime(2015, 3, 27, 0, 0)",P19544,Q86V15,106931,105978
GREB1,BCAR3,"datetime(2015, 3, 27, 0, 0)",Q4ZG55,O75815,101092,111502
TNK1,YWHAH,"datetime(2015, 4, 7, 0, 0)",Q13470,Q04917,105784,104048
YBX1,ACO1,"datetime(2015, 2, 6, 0, 0)",P67809,P21399,106757,108025
CHEK2,RHOBTB2,"datetime(2015, 3, 27, 0, 0)",O96017,Q9BYZ6,108135,107229
IFI16,NOL10,"datetime(2015, 2, 9, 0, 0)",Q16666,Q9BSC4,102038,105167
SLC38A1,ATP5I,"datetime(2015, 3, 26, 0, 0)",Q9H2H9,P56385,112297,112327
YBX1,PTBP1,"datetime(2015, 2, 6, 0, 0)",P67809,P26599,106757,109286
MNDA,NIFK,"datetime(2015, 2, 9, 0, 0)",P41218,Q9BYG3,100095,115461
AATK,SLC25A22,"datetime(2015, 4, 7, 0, 0)",Q6ZMQ8,Q9H936,112373,111741
SRPK1,YBX3,"datetime(2015, 4, 7, 0, 0)",Q96SB4,P16989,101000,102259
IFI16,TRMT1L,"datetime(2015, 2, 9, 0, 0)",Q16666,Q7Z2T5,102038,108627
YBX1,XRCC5,"datetime(2015, 2, 6, 0, 0)",P67809,P13010,106757,106516
YBX1,,"datetime(2015, 2, 6, 0, 0)",P67809,B7Z4L7,106757,103992
ESR1,KRT35,"datetime(2015, 6, 1, 0, 0)",P03372,Q92764,102503,114025
NUP98,MAPK8,"datetime(2015, 4, 7, 0, 0)",P52948,P45983,115752,111093
AKT1,PTPN3,"datetime(2015, 3, 27, 0, 0)",P31749,P26045,112440,114028
IFI16,G3BP1,"datetime(2015, 2, 9, 0, 0)",Q16666,Q13283,102038,105874
AATK,P4HA1,"datetime(2015, 4, 7, 0, 0)",Q6ZMQ8,P13674,112373,105411
YBX1,,"datetime(2015, 2, 6, 0, 0)",P67809,A8K9K8,106757,103988
SIK2,HSPB1,"datetime(2015, 4, 7, 0, 0)",Q9H0K1,P04792,112695,107064
YBX1,GTPBP4,"datetime(2015, 2, 6, 0, 0)",P67809,Q9BZE4,106757,108711
PYHIN1,COPA,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,P53621,100916,114472
TRIP12,GNL3,"datetime(2015, 3, 26, 0, 0)",Q14669,Q9BVP2,102623,116395
PPM1D,EPSTI1,"datetime(2015, 3, 27, 0, 0)",O15297,Q96J88,108980,110334
IFI16,RRP1,"datetime(2015, 2, 9, 0, 0)",Q16666,P56182,102038,116237
BAG4,THRSP,"datetime(2015, 3, 27, 0, 0)",O95429,Q92748,110877,113122
RRAGA,LAMTOR3,"datetime(2015, 3, 26, 0, 0)",Q7L523,Q9UHA4,114661,103786
IFI16,NKRF,"datetime(2015, 2, 9, 0, 0)",Q16666,O15226,102038,103461
PYHIN1,SUPT16H,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,Q9Y5B9,100916,104393
ESR2,EPRS,"datetime(2015, 6, 1, 0, 0)",Q92731,P07814,100229,109418
BCAR3,WHSC1L1,"datetime(2015, 3, 27, 0, 0)",O75815,Q9BZ95,111502,113903
SGK2,CCT8,"datetime(2015, 4, 7, 0, 0)",Q9HBY8,P50990,114230,115295
CSNK2A1,RING1,"datetime(2015, 4, 7, 0, 0)",P68400,Q06587,110721,114539
YBX1,HNRNPUL2,"datetime(2015, 2, 6, 0, 0)",P67809,Q1KMD3,106757,103451
PYHIN1,NCOA5,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,Q9HCD5,100916,102798
EMD,RAF1,"datetime(2015, 4, 7, 0, 0)",P50402,P04049,108819,103651
WT1,KLK7,"datetime(2015, 3, 27, 0, 0)",P19544,P49862,106931,103129
ESR1,PHGDH,"datetime(2015, 6, 1, 0, 0)",P03372,O43175,102503,105158
FBXW11,LPIN2,"datetime(2015, 1, 1, 0, 0)",Q9UKB1,Q92539,111849,112371
SIK2,HSPA2,"datetime(2015, 4, 7, 0, 0)",Q9H0K1,P54652,112695,103058
MNDA,IGF2BP3,"datetime(2015, 2, 9, 0, 0)",P41218,O00425,100095,101807
TRIM25,STK11,"datetime(2015, 3, 27, 0, 0)",Q14258,Q15831,104818,102452
GADD45GIP1,FBXW11,"datetime(2015, 1, 1, 0, 0)",Q8TAE8,Q9UKB1,113820,111849
FAM84B,RAD51,"datetime(2015, 3, 27, 0, 0)",Q96KN1,Q06609,115729,108507
GPATCH8,JAK3,"datetime(2015, 4, 7, 0, 0)",Q9UKJ3,P52333,110692,101659
MNDA,IGF2BP1,"datetime(2015, 2, 9, 0, 0)",P41218,Q9NZI8,100095,100722
LAMTOR4,SLC38A9,"datetime(2015, 3, 26, 0, 0)",Q0VGL1,Q8NBW4,113951,107436
MNDA,REXO4,"datetime(2015, 2, 9, 0, 0)",P41218,Q9GZR2,100095,108929
IFI16,PELO,"datetime(2015, 2, 9, 0, 0)",Q16666,Q9BRX2,102038,103869
BEX1,BAG4,"datetime(2015, 3, 27, 0, 0)",Q9HBH7,O95429,107635,110877
ESR1,TTN,"datetime(2015, 6, 1, 0, 0)",P03372,Q8WZ42,102503,107855
SLC25A11,RAPGEF2,"datetime(2015, 1, 1, 0, 0)",Q02978,Q9Y4G8,115672,112514
TFF1,APC,"datetime(2015, 3, 27, 0, 0)",P04155,P25054,109149,115867
MNDA,BYSL,"datetime(2015, 2, 9, 0, 0)",P41218,Q13895,100095,109216
MNDA,DDX10,"datetime(2015, 2, 9, 0, 0)",P41218,Q13206,100095,104696
CCT5,IRAK1,"datetime(2015, 4, 7, 0, 0)",P48643,P51617,114575,110648
AGR3,ESR2,"datetime(2015, 3, 27, 0, 0)",Q8TD06,Q92731,106589,100229
ESR2,RBMX,"datetime(2015, 6, 1, 0, 0)",Q92731,P38159,100229,110646
MNDA,HP1BP3,"datetime(2015, 2, 9, 0, 0)",P41218,Q5SSJ5,100095,115816
IFI16,MSH6,"datetime(2015, 2, 9, 0, 0)",Q16666,P52701,102038,114313
AURKA,CDH13,"datetime(2015, 3, 27, 0, 0)",O14965,P55290,105171,100447
RELA,FBXW11,"datetime(2015, 1, 1, 0, 0)",Q04206,Q9UKB1,116233,111849
IFI16,POP1,"datetime(2015, 2, 9, 0, 0)",Q16666,Q99575,102038,109292
CXCL1,PTEN,"datetime(2015, 3, 27, 0, 0)",P09341,P60484,107952,107347
ESR2,OR4K3,"datetime(2015, 6, 1, 0, 0)",Q92731,Q96R72,100229,112790
ESR1,GLCE,"datetime(2015, 3, 27, 0, 0)",P03372,O94923,102503,112206
THEMIS,CORO1A,"datetime(2015, 2, 3, 0, 0)",Q8N1K5,P31146,100101,106800
RB1CC1,GLCE,"datetime(2015, 3, 27, 0, 0)",Q8TDY2,O94923,108235,112206
PTPN1,THRSP,"datetime(2015, 3, 27, 0, 0)",P18031,Q92748,109850,113122
RNF11,GGA2,"datetime(2015, 6, 1, 0, 0)",Q9Y3C5,Q9UJY4,103023,113345
STK11,CFL2,"datetime(2015, 3, 27, 0, 0)",Q15831,Q9Y281,102452,104439
IFI16,UTP14A,"datetime(2015, 2, 9, 0, 0)",Q16666,Q9BVJ6,102038,106520
PYHIN1,PARP1,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,P09874,100916,113437
SLC38A1,SLC7A5,"datetime(2015, 3, 26, 0, 0)",Q9H2H9,Q01650,112297,114120
ESR1,KRT78,"datetime(2015, 6, 1, 0, 0)",P03372,Q8N1N4,102503,111756
CAMK2A,ZMYM1,"datetime(2015, 4, 7, 0, 0)",Q9UQM7,Q5SVZ6,102659,113965
E2F1,ANAPC7,"datetime(2015, 1, 1, 0, 0)",Q01094,Q9UJX3,105610,101044
RAD51,USP10,"datetime(2015, 3, 27, 0, 0)",Q06609,Q14694,108507,115556
ARAF,RPL37,"datetime(2015, 4, 7, 0, 0)",P10398,P61927,105149,102947
MBD3,KPNA2,"datetime(2015, 5, 1, 0, 0)",O95983,P52292,110696,110088
ARAF,TECR,"datetime(2015, 4, 7, 0, 0)",P10398,Q9NZ01,105149,116596
FBXW11,LRCH4,"datetime(2015, 1, 1, 0, 0)",Q9UKB1,O75427,111849,100226
YBX1,SF3B1,"datetime(2015, 2, 6, 0, 0)",P67809,O75533,106757,111426
TYK2,WDR20,"datetime(2015, 4, 7, 0, 0)",P29597,Q8TBZ3,101260,107774
CYP17A1,CDH1,"datetime(2015, 3, 27, 0, 0)",P05093,P12830,107457,107212
SLC36A1,ATP5O,"datetime(2015, 3, 26, 0, 0)",Q7Z2H8,P48047,111472,114799
CASP8,ST14,"datetime(2015, 3, 27, 0, 0)",Q14790,Q9Y5Y6,100527,103630
MARK3,CAPZB,"datetime(2015, 4, 7, 0, 0)",P27448,P47756,108432,114830
RAPGEF2,STOM,"datetime(2015, 1, 1, 0, 0)",Q9Y4G8,P27105,112514,112375
BUB1B,RPL39,"datetime(2015, 4, 7, 0, 0)",O60566,P62891,115999,111441
PRKCZ,CKAP4,"datetime(2015, 4, 7, 0, 0)",Q05513,Q07065,109176,115288
ARAF,DPM1,"datetime(2015, 4, 7, 0, 0)",P10398,O60762,105149,106269
RB1CC1,BAP1,"datetime(2015, 3, 27, 0, 0)",Q8TDY2,Q92560,108235,100643
ERBB2,CYP17A1,"datetime(2015, 3, 27, 0, 0)",P04626,P05093,110434,107457
ARAF,HSP90B1,"datetime(2015, 4, 7, 0, 0)",P10398,P14625,105149,104999
MNDA,C7ORF50,"datetime(2015, 2, 9, 0, 0)",P41218,Q9BRJ6,100095,114209
SLC38A1,SLC25A22,"datetime(2015, 3, 26, 0, 0)",Q9H2H9,Q9H936,112297,111741
ESR1,CCT3,"datetime(2015, 6, 1, 0, 0)",P03372,P49368,102503,101876
TOP1MT,TP53,"datetime(2015, 1, 1, 0, 0)",Q969P6,P04637,105827,114765
IFI16,ABCF1,"datetime(2015, 2, 9, 0, 0)",Q16666,Q8NE71,102038,104888
ESR2,TARDBP,"datetime(2015, 6, 1, 0, 0)",Q92731,Q13148,100229,115502
CST6,NOTCH2,"datetime(2015, 3, 27, 0, 0)",Q15828,Q04721,105539,106892
AIM2,PHF14,"datetime(2015, 2, 9, 0, 0)",O14862,O94880,112084,111770
ARAF,LRRC59,"datetime(2015, 4, 7, 0, 0)",P10398,Q96AG4,105149,103316
MAST3,C1QBP,"datetime(2015, 4, 7, 0, 0)",O60307,Q07021,107245,115894
WHSC1L1,ESR1,"datetime(2015, 3, 27, 0, 0)",Q9BZ95,P03372,113903,102503
SLC7A5,IRAK1,"datetime(2015, 4, 7, 0, 0)",Q01650,P51617,114120,110648
SMAD4,S100A14,"datetime(2015, 3, 27, 0, 0)",Q13485,Q9HCY8,101994,101453
ESR1,IARS,"datetime(2015, 6, 1, 0, 0)",P03372,P41252,102503,113626
AIM2,NKX2-4,"datetime(2015, 2, 9, 0, 0)",O14862,Q9H2Z4,112084,111793
YBX1,PTBP3,"datetime(2015, 2, 6, 0, 0)",P67809,O95758,106757,108640
TYK2,DDX5,"datetime(2015, 4, 7, 0, 0)",P29597,P17844,101260,106274
AIM2,NR2C2,"datetime(2015, 2, 9, 0, 0)",O14862,P49116,112084,101954
PRSS50,STK11,"datetime(2015, 3, 27, 0, 0)",Q9UI38,Q15831,113136,102452
PAK1,H2AFX,"datetime(2015, 4, 7, 0, 0)",Q13153,P16104,103174,113889
IFI16,USP10,"datetime(2015, 2, 9, 0, 0)",Q16666,Q14694,102038,115556
MNDA,URB2,"datetime(2015, 2, 9, 0, 0)",P41218,Q14146,100095,109868
FGFR2,HOXC6,"datetime(2015, 3, 27, 0, 0)",P21802,P09630,100913,107652
YBX1,ABCF2,"datetime(2015, 2, 6, 0, 0)",P67809,Q9UG63,106757,105030
ESR2,OBSCN,"datetime(2015, 6, 1, 0, 0)",Q92731,Q5VST9,100229,114805
IL24,AKT1,"datetime(2015, 3, 27, 0, 0)",Q13007,P31749,108551,112440
ARAF,CALU,"datetime(2015, 4, 7, 0, 0)",P10398,O43852,105149,115924
BEX2,PPM1D,"datetime(2015, 3, 27, 0, 0)",Q9BXY8,O15297,107789,108980
EIF3C,CSNK2A1,"datetime(2015, 4, 7, 0, 0)",Q99613,P68400,105609,110721
SLC38A1,NTPCR,"datetime(2015, 3, 26, 0, 0)",Q9H2H9,Q9BSD7,112297,100264
THRSP,KRAS,"datetime(2015, 3, 27, 0, 0)",Q92748,P01116,113122,110861
IFI16,ZMPSTE24,"datetime(2015, 2, 9, 0, 0)",Q16666,O75844,102038,112335
IFI16,RRS1,"datetime(2015, 2, 9, 0, 0)",Q16666,Q15050,102038,105709
SCYL2,RAPGEF2,"datetime(2015, 1, 1, 0, 0)",Q6P3W7,Q9Y4G8,114821,112514
SLC38A2,ATP5EP2,"datetime(2015, 3, 26, 0, 0)",Q96QD8,Q5VTU8,114069,101139
MNDA,FBL,"datetime(2015, 2, 9, 0, 0)",P41218,P22087,100095,110725
IFI16,RSL1D1,"datetime(2015, 2, 9, 0, 0)",Q16666,O76021,102038,110361
BUB1B,CCT2,"datetime(2015, 4, 7, 0, 0)",O60566,P78371,115999,106704
EEF1G,ABL1,"datetime(2015, 4, 7, 0, 0)",P26641,P00519,104211,104641
ATM,NR4A1,"datetime(2015, 3, 27, 0, 0)",Q13315,P22736,115411,103649
PYHIN1,RNH1,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,P13489,100916,108800
SLC38A1,ATP5J,"datetime(2015, 3, 26, 0, 0)",Q9H2H9,P18859,112297,113074
STK11,LYPD3,"datetime(2015, 3, 27, 0, 0)",Q15831,O95274,102452,114237
WT1,CCL5,"datetime(2015, 3, 27, 0, 0)",P19544,P13501,106931,103529
AIM2,ZNF444,"datetime(2015, 2, 9, 0, 0)",O14862,Q8N0Y2,112084,109570
ERBB2,UTP18,"datetime(2015, 3, 27, 0, 0)",P04626,Q9Y5J1,110434,105646
MAST1,YWHAH,"datetime(2015, 4, 7, 0, 0)",Q9Y2H9,Q04917,109125,104048
TFF1,FGFR2,"datetime(2015, 3, 27, 0, 0)",P04155,P21802,109149,100913
MNDA,LARP7,"datetime(2015, 2, 9, 0, 0)",P41218,Q4G0J3,100095,112041
HSPB1,IRAK1,"datetime(2015, 4, 7, 0, 0)",P04792,P51617,107064,110648
UBC,ECSIT,"datetime(2015, 1, 1, 0, 0)",P0CG48,Q9BQ95,106138,105803
ESR2,ACTR1A,"datetime(2015, 6, 1, 0, 0)",Q92731,P61163,100229,100180
MAST3,PKP3,"datetime(2015, 4, 7, 0, 0)",O60307,Q9Y446,107245,113685
AIM2,RBBP7,"datetime(2015, 2, 9, 0, 0)",O14862,Q16576,112084,107735
GRIN2A,AKT1,"datetime(2015, 3, 27, 0, 0)",Q12879,P31749,103587,112440
IFI16,USP7,"datetime(2015, 2, 9, 0, 0)",Q16666,Q93009,102038,110519
BAG2,IRAK1,"datetime(2015, 4, 7, 0, 0)",O95816,P51617,115498,110648
CDK2AP1,CHD3,"datetime(2015, 5, 1, 0, 0)",O14519,Q12873,103697,103583
FGFR2,GLCE,"datetime(2015, 3, 27, 0, 0)",P21802,O94923,100913,112206
ESR1,HYOU1,"datetime(2015, 6, 1, 0, 0)",P03372,Q9Y4L1,102503,110148
MNDA,KRI1,"datetime(2015, 2, 9, 0, 0)",P41218,Q8N9T8,100095,101008
SLC38A1,DHCR24,"datetime(2015, 3, 26, 0, 0)",Q9H2H9,Q15392,112297,112049
ESR2,SQRDL,"datetime(2015, 6, 1, 0, 0)",Q92731,Q9Y6N5,100229,103446
FGFR4,ANGPTL4,"datetime(2015, 3, 27, 0, 0)",P22455,Q9BY76,109324,103670
AKT1,TFF1,"datetime(2015, 3, 27, 0, 0)",P31749,P04155,112440,109149
IFI16,RBM34,"datetime(2015, 2, 9, 0, 0)",Q16666,P42696,102038,100653
PTK6,TCP1,"datetime(2015, 4, 7, 0, 0)",Q13882,P17987,113487,115942
IFI16,KIF5B,"datetime(2015, 2, 9, 0, 0)",Q16666,P33176,102038,106902
IGF1R,HOXC6,"datetime(2015, 3, 27, 0, 0)",P08069,P09630,104790,107652
BCAS3,SMAD4,"datetime(2015, 3, 27, 0, 0)",Q9H6U6,Q13485,104854,101994
AIM2,NBN,"datetime(2015, 2, 9, 0, 0)",O14862,O60934,112084,102935
IFI16,SNRNP70,"datetime(2015, 2, 9, 0, 0)",Q16666,P08621,102038,110383
AIM2,PSMC1,"datetime(2015, 2, 9, 0, 0)",O14862,P62191,112084,102642
ILF3,FBXW11,"datetime(2015, 1, 1, 0, 0)",Q12906,Q9UKB1,101497,111849
AATK,SSR4,"datetime(2015, 4, 7, 0, 0)",Q6ZMQ8,P51571,112373,107588
MNDA,ZNF711,"datetime(2015, 2, 9, 0, 0)",P41218,Q9Y462,100095,105095
